,scene_name,img_a_idx,img_b_idx,is_valid,is_valid_masked,norm_diff_descriptor_ground_truth,norm_diff_descriptor,norm_diff_descriptor_masked,norm_diff_ground_truth_3d,norm_diff_pred_3d,norm_diff_pred_3d_masked,pixel_match_error_l2,pixel_match_error_l2_masked,pixel_match_error_l1,fraction_pixels_closer_than_ground_truth,fraction_pixels_closer_than_ground_truth_masked,average_l2_distance_for_false_positives,average_l2_distance_for_false_positives_masked
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,50.0,53.009433122794285,50.0,0.0008622685185185185,0.0040604360176358855,42.50319553777579,35.19732872740142
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,47.50789408087881,47.50789408087881,67.0,0.021919849537037038,0.1235557569314954,96.1872883509712,94.48574169224896
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,15.652475842498529,15.652475842498529,21.0,0.00041377314814814814,0.002457173727410557,15.494145108407572,15.52736502568497
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,17.26267650163207,17.26267650163207,20.0,0.000910011574074074,0.005480717285607235,382.90003306836843,382.90003306836843
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,59.00847396772772,59.00847396772772,60.0,0.0014250578703703704,0.008530400989840196,58.270820114457045,58.060741469012484
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,46.61544808322666,46.61544808322666,61.0,0.020183738425925926,0.11160971019291428,110.99810838253529,110.50567411742878
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,41.30375285612676,41.30375285612676,46.0,0.002447916666666667,0.014629768398306119,64.67643518008938,64.461571580695
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,8.54400374531753,8.54400374531753,11.0,0.0007537615740740741,0.004539672028301064,382.89067147354814,382.89067147354814
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,73.348483283569,73.348483283569,86.0,0.030031828703703703,0.17791854730495094,100.56881062014808,100.39387192029326
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,368.14263540100865,368.14263540100865,437.0,0.041533564814814815,0.2161267274279839,327.40976762349686,325.3187117871725
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,41.10960958218893,41.10960958218893,44.0,0.008764467592592593,0.049021487200041826,104.21870531852409,104.01266796696025
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,11.313708498984761,11.313708498984761,16.0,0.0044994212962962965,0.025512782531411742,391.5144849161547,396.82486581821007
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,17.88854381999832,17.88854381999832,24.0,0.0038498263888888887,0.02246309882717878,96.88041760778147,96.98002774386096
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,20.591260281974,20.591260281974,28.0,0.004165219907407407,0.02490284579056515,82.32020565784205,82.618399679248
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,91.60785992479029,91.60785992479029,128.0,0.04236255787037037,0.24997821654496977,92.26564595150134,91.76666775161515
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,34.0147027033899,34.0147027033899,35.0,0.005908564814814814,0.03502779568861858,101.68978598568448,101.08046214369679
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,33.0,33.0,33.0,0.002210648148148148,0.012625690535524458,419.6920317831469,424.1717914083916
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,30.0,30.0,42.0,0.003187210648148148,0.018698917797954098,306.72609461072153,311.6133020733938
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,11.180339887498949,11.180339887498949,13.0,0.0003949652777777778,0.0023787532893017097,124.58897457832042,124.58897457832042
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,67.08203932499369,67.08203932499369,90.0,0.02293113425925926,0.13093599149573915,107.50375649583445,106.76757197342384
0,shirt_hanging,cam0-315-119,cam1-0-0,,,,,,,,,33.24154027718932,33.24154027718932,41.0,0.002395833333333333,0.013017792726068697,102.21869583985898,102.58051453074115
